,Symbol,Name,Sector,industry,Exchange,CIK
1191,DW,Drew Industries Incorporated,Capital Goods,Auto Parts:O.E.M.,NYSE,763744
1192,DWCH,Datawatch Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ,792130
1193,DWSN,Dawson Geophysical Company,Energy,Oil & Gas Production,NASDAQ,351231
1194,DX,"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,826675
1195,DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,1093557
1196,DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,1020710
1197,DXR,Daxor Corporation,Health Care,Medical/Dental Instruments,AMEX,27367
1198,DXYN,"The Dixie Group, Inc.",Consumer Durables,Home Furnishings,NASDAQ,29332
1199,DY,"Dycom Industries, Inc.",Basic Industries,Water Supply,NYSE,67215
1200,DYN,Dynegy Inc.,Public Utilities,Electric Utilities: Central,NYSE,1379895
1201,DYNT,Dynatronics Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,720875
1202,DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components,NASDAQ,30831
1203,EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ,712515
1204,EACQU,Easterly Acquisition Corp.,Capital Goods,Building Products,NASDAQ,1641197
1205,EAD,Wells Fargo Income Opportunities Fund,,,AMEX,1210123
1206,EAGL,Double Eagle Acquisition Corp.,Finance,Business Services,NASDAQ,1575988
1207,EARN,Ellington Residential Mortgage REIT,Consumer Services,Real Estate Investment Trusts,NYSE,1560672
1208,EAT,"Brinker International, Inc.",Consumer Services,Restaurants,NYSE,703351
1209,EBAY,eBay Inc.,Miscellaneous,Business Services,NASDAQ,1065088
1210,EBF,"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services,NYSE,33002
1211,EBIO,"Eleven Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1485003
1212,EBIX,"Ebix, Inc.",Technology,EDP Services,NASDAQ,814549
1213,EBMT,"Eagle Bancorp Montana, Inc.",Finance,Major Banks,NASDAQ,1478454
1214,EBS,"Emergent Biosolutions, Inc.",Health Care,Major Pharmaceuticals,NYSE,1367644
1215,EBSB,"Meridian Bancorp, Inc.",Finance,Major Banks,NASDAQ,1411974
1216,EBTC,Enterprise Bancorp Inc,Finance,Major Banks,NASDAQ,1018399
1217,EC,Ecopetrol S.A.,Energy,Oil & Gas Production,NYSE,352947
1218,ECA,Encana Corporation,Energy,Oil & Gas Production,NYSE,1157806
1219,ECACU,E-compass Acquisition Corp.,Finance,Business Services,NASDAQ,1625042
1220,ECF,Ellsworth Growth and Income Fund Ltd.,,,AMEX,793040
1221,ECHO,"Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing,NASDAQ,1426945
1222,ECL,Ecolab Inc.,Basic Industries,Package Goods/Cosmetics,NYSE,31462
1223,ECOL,"US Ecology, Inc.",Public Utilities,Environmental Services,NASDAQ,742126
1224,ECPG,Encore Capital Group Inc,Finance,Finance Companies,NASDAQ,1084961
1225,ECR,Eclipse Resources Corporation,Energy,Oil & Gas Production,NYSE,1600470
1226,ECT,ECA Marcellus Trust I,Energy,Oil & Gas Production,NYSE,1487798
1227,ECYT,"Endocyte, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1235007
1228,ED,Consolidated Edison Inc,Public Utilities,Power Generation,NYSE,1047862
1229,EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,1041934
1230,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",,,NYSE,1388141
1231,EDE,Empire District Electric Company (The),Public Utilities,Electric Utilities: Central,NYSE,32689
1232,EDF,Stone Harbor Emerging Markets Income Fund,,,NYSE,1501103
1233,EDGE,"Edge Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1472091
1234,EDGW,"Edgewater Technology, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ,1017968
1235,EDI,Stone Harbor Emerging Markets Total Income Fund,,,NYSE,1551040
1236,EDR,Education Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts,NYSE,1302343
1237,EDU,"New Oriental Education & Technology Group, Inc.",Consumer Services,Other Consumer Services,NYSE,1372920
1238,EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties,NASDAQ,31667
1239,EE,El Paso Electric Company,Public Utilities,Electric Utilities: Central,NYSE,31978
1240,EEA,"European Equity Fund, Inc. (The)",,,NYSE,791718
1241,EEFT,"Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service,NASDAQ,1029199
1242,EEI,"Ecology and Environment, Inc.",Consumer Services,Military/Government/Technical,NASDAQ,809933
1243,EEP,"Enbridge Energy, L.P.",Energy,Natural Gas Distribution,NYSE,880285
1244,EEQ,Enbridge Energy Management LLC,Energy,Oil & Gas Production,NYSE,1173911
1245,EFC,Ellington Financial LLC,Finance,Real Estate,NYSE,1411342
1246,EFF,Eaton vance Floating-Rate Income Plus Fund,,,NYSE,1573698
1247,EFII,"Electronics for Imaging, Inc.",Technology,Computer Communications Equipment,NASDAQ,867374
1248,EFOI,"Energy Focus, Inc.",Consumer Durables,Building Products,NASDAQ,924168
1249,EFR,Eaton Vance Senior Floating-Rate Fund,,,NYSE,1258623
1250,EFSC,Enterprise Financial Services Corporation,Finance,Major Banks,NASDAQ,1025835
1251,EFT,Eaton Vance Floating Rate Income Trust,,,NYSE,1288992
1252,EFUT,eFuture Holding Inc.,Technology,EDP Services,NASDAQ,1329365
1253,EFX,"Equifax, Inc.",Finance,Finance: Consumer Services,NYSE,33185
1254,EGAN,eGain Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ,1066194
1255,EGBN,"Eagle Bancorp, Inc.",Finance,Major Banks,NASDAQ,1050441
1256,EGF,"Blackrock Enhanced Government Fund, Inc",,,NYSE,1336050
1257,EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,NASDAQ,1023731
1258,EGL,"Engility Holdings, Inc.",Consumer Services,Military/Government/Technical,NYSE,1544229
1259,EGLE,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation,NASDAQ,1322439
1260,EGLT,Egalet Corporation,Health Care,Major Pharmaceuticals,NASDAQ,1586105
1261,EGN,Energen Corporation,Energy,Oil & Gas Production,NYSE,277595
1262,EGOV,NIC Inc.,Miscellaneous,Business Services,NASDAQ,1065332
1263,EGP,"EastGroup Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,49600
1264,EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,827871
1265,EGY,Vaalco Energy Inc,Energy,Oil & Gas Production,NYSE,894627
1266,EHI,Western Asset Global High Income Fund Inc,,,NYSE,1228509
1267,EHIC,eHi Car Services Limited,Consumer Services,Rental/Leasing Companies,NYSE,1517492
1268,EHTH,"eHealth, Inc.",Finance,Specialty Insurers,NASDAQ,1333493
1269,EIA,Eaton Vance California Municipal Bond Fund II,,,AMEX,1196869
1270,EIG,Employers Holdings Inc,Finance,Property-Casualty Insurers,NYSE,1379041
1271,EIGI,"Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1237746
1272,EIM,Eaton Vance Municipal Bond Fund,,,AMEX,1176984
1273,EIO,Eaton Vance Ohio Municipal Bond Fund,,,AMEX,1196876
1274,EIP,Eaton Vance Pennsylvania Municipal Bond Fund,,,AMEX,1196877
1275,EIV,Eaton Vance Municipal Bond Fund II,,,AMEX,1196867
1276,EIX,Edison International,Public Utilities,Electric Utilities: Central,NYSE,827052
1277,EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics,NYSE,1001250
1278,ELEC,Electrum Special Acquisition Corporation,Finance,Business Services,NASDAQ,90721
1279,ELECU,Electrum Special Acquisition Corporation,Finance,Business Services,NASDAQ,1639669
1280,ELGX,"Endologix, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,1013606
1281,ELLI,"Ellie Mae, Inc.",Technology,Computer Software: Prepackaged Software,NYSE,1122388
1282,ELMD,"Electromed, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX,1488917
1283,ELNK,EarthLink Holdings Corp.,Technology,"Computer Software: Programming, Data Processing",NASDAQ,1102541
1284,ELON,Echelon Corporation,Technology,Computer Communications Equipment,NASDAQ,31347
1285,ELOS,Syneron Medical Ltd.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,1291361
1286,ELS,"Equity Lifestyle Properties, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,895417
1287,ELSE,"Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,351789
1288,ELTK,Eltek Ltd.,Technology,Electrical Products,NASDAQ,1024672
1289,ELU,"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central,NYSE,1001903
1290,ELY,Callaway Golf Company,Consumer Non-Durables,Recreational Products/Toys,NYSE,837465
1291,EMAN,eMagin Corporation,Technology,Semiconductors,AMEX,1046995
1292,EMCF,Emclaire Financial Corp,Finance,Major Banks,NASDAQ,858800
1293,EMCI,EMC Insurance Group Inc.,Finance,Property-Casualty Insurers,NASDAQ,356130
1294,EMD,Western Asset Emerging Markets Debt Fund Inc,,,NYSE,902978
1295,EME,"EMCOR Group, Inc.",Capital Goods,Engineering & Construction,NYSE,930835
1296,EMES,Emerge Energy Services LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE,1555177
1297,EMF,Templeton Emerging Markets Fund,,,NYSE,809708
1298,EMI,Eaton Vance Michigan Municipal Income Trust,,,AMEX,1074688
1299,EMJ,Eaton Vance New Jersey Municipal Bond Fund,,,AMEX,1196874
1300,EMKR,EMCORE Corporation,Technology,Semiconductors,NASDAQ,808326
1301,EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components,NASDAQ,31107
1302,EMMS,Emmis Communications Corporation,Consumer Services,Broadcasting,NASDAQ,783005
1303,EMN,Eastman Chemical Company,Basic Industries,Major Chemicals,NYSE,915389
1304,EMO,ClearBridge Energy MLP Opportunity Fund Inc.,,,NYSE,1517518
1305,EMR,Emerson Electric Company,Energy,Consumer Electronics/Appliances,NYSE,32604
1306,ENB,Enbridge Inc,Energy,Natural Gas Distribution,NYSE,895728
1307,ENBL,"Enable Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,1591763
1308,ENDP,Endo International plc,Health Care,Major Pharmaceuticals,NASDAQ,1100962
1309,ENG,ENGlobal Corporation,Consumer Services,Military/Government/Technical,NASDAQ,933738
1310,ENH,Endurance Specialty Holdings Ltd,Finance,Property-Casualty Insurers,NYSE,1179755
1311,ENLC,"EnLink Midstream, LLC",Public Utilities,Natural Gas Distribution,NYSE,1592000
1312,ENOC,"EnerNOC, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ,1244937
1313,ENPH,"Enphase Energy, Inc.",Technology,Semiconductors,NASDAQ,1463101
1314,ENR,"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components,NYSE,1632790
1315,ENS,Enersys,Consumer Non-Durables,Telecommunications Equipment,NYSE,1289308
1316,ENSG,"The Ensign Group, Inc.",Health Care,Hospital/Nursing Management,NASDAQ,1125376
1317,ENT,Global Eagle Entertainment Inc.,Consumer Services,Telecommunications Equipment,NASDAQ,1512077
1318,ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1177648
1319,ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products,NASDAQ,1101302
1320,ENTL,"Entellus Medical, Inc.",Health Care,Medical/Dental Instruments,NASDAQ,1374128
1321,ENV,"Envestnet, Inc",Miscellaneous,Business Services,NYSE,1337619
1322,ENX,Eaton Vance New York Municipal Bond Fund,,,AMEX,1177162
1323,ENZ,"Enzo Biochem, Inc.",Health Care,Medical Specialities,NYSE,316253
1324,EOD,Wells Fargo Global Dividend Opportunity Fund,,,NYSE,1386067
1325,EOG,"EOG Resources, Inc.",Energy,Oil & Gas Production,NYSE,821189
1326,EOI,Eaton Vance Enhance Equity Income Fund,,,NYSE,1300391
1327,EOS,Eaton Vance Enhanced Equity Income Fund II,,,NYSE,1308335
1328,EOT,Eaton Vance Municipal Income Trust,,,NYSE,1454741
1329,EPAM,"EPAM Systems, Inc.",Technology,EDP Services,NYSE,1352010
1330,EPAY,"Bottomline Technologies, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,1073349
1331,EPD,Enterprise Products Partners L.P.,Public Utilities,Natural Gas Distribution,NYSE,1061219
1332,EPE,EP Energy Corporation,Energy,Oil & Gas Production,NYSE,1584952
1333,EPIX,ESSA Pharma Inc.,Health Care,Major Pharmaceuticals,NASDAQ,1027702
1334,EPM,"Evolution Petroleum Corporation, Inc.",Energy,Oil & Gas Production,AMEX,1006655
1335,EPR,EPR Properties,Consumer Services,Real Estate Investment Trusts,NYSE,1045450
1336,EPZM,"Epizyme, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1571498
1337,EQGP,"EQT GP Holdings, LP",Public Utilities,Natural Gas Distribution,NYSE,1632933
1338,EQIX,"Equinix, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ,1101239
1339,EQM,"EQT Midstream Partners, LP",Public Utilities,Natural Gas Distribution,NYSE,1540947
1340,EQR,Equity Residential,Consumer Services,Real Estate Investment Trusts,NYSE,906107
1341,EQS,"Equus Total Return, Inc.",,,NYSE,878932
1342,EQT,EQT Corporation,Energy,Oil & Gas Production,NYSE,33213
1343,EQY,"Equity One, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,1042810
1344,ERA,"Era Group, Inc.",Transportation,Transportation Services,NYSE,1525221
1345,ERC,Wells Fargo Multi-Sector Income Fund,,,AMEX,1227073
1346,ERH,Wells Fargo Utilities and High Income Fund,,,AMEX,1279014
1347,ERI,"Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts,NASDAQ,854852
1348,ERIE,Erie Indemnity Company,Finance,Specialty Insurers,NASDAQ,922621
1349,ERII,"Energy Recovery, Inc.",Technology,Industrial Machinery/Components,NASDAQ,1421517
1350,ERS,"Empire Resources, Inc.",Basic Industries,Metal Fabrications,NASDAQ,1019272
1351,ES,Eversource Energy,Public Utilities,Electric Utilities: Central,NYSE,1393744
1352,ESCA,"Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys,NASDAQ,33488
1353,ESE,ESCO Technologies Inc.,Consumer Durables,Telecommunications Equipment,NYSE,866706
1354,ESEA,Euroseas Ltd.,Transportation,Marine Transportation,NASDAQ,1341170
1355,ESGR,Enstar Group Limited,Finance,Property-Casualty Insurers,NASDAQ,1363829
1356,ESIO,"Electro Scientific Industries, Inc.",Miscellaneous,Industrial Machinery/Components,NASDAQ,726514
1357,ESL,Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components,NYSE,33619
1358,ESLT,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical,NASDAQ,1027664
1359,ESNT,Essent Group Ltd.,Finance,Property-Casualty Insurers,NYSE,1448893
1360,ESP,Espey Mfg. & Electronics Corp.,Capital Goods,Industrial Machinery/Components,AMEX,33533
1361,ESPR,"Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1434868
1362,ESRT,"Empire State Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,1541401
1363,ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services,NASDAQ,1532063
1364,ESS,"Essex Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,920522
1365,ESSA,"ESSA Bancorp, Inc.",Finance,Banks,NASDAQ,1382230
1366,ESV,ENSCO plc,Energy,Oil & Gas Production,NYSE,314808
1367,ESXB,Community Bankers Trust Corporation.,Finance,Major Banks,NASDAQ,1323648
1368,ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,,,NYSE,1308927
1369,ETE,"Energy Transfer Equity, L.P.",Public Utilities,Natural Gas Distribution,NYSE,1276187
1370,ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions,NASDAQ,1015780
1371,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,,,NYSE,1271554
1372,ETH,Ethan Allen Interiors Inc.,Consumer Durables,Home Furnishings,NYSE,896156
1373,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,,,NYSE,1395325
1374,ETM,Entercom Communications Corporation,Consumer Services,Broadcasting,NYSE,1067837
1375,ETN,"Eaton Corporation, PLC",Technology,Industrial Machinery/Components,NYSE,1551182
1376,ETO,Eaton Vance Tax-Advantage Global Dividend Opp,,,NYSE,1281926
1377,ETP,ENERGY TRANSFER PARTNERS,Public Utilities,Natural Gas Distribution,NYSE,1012569
1378,ETR,Entergy Corporation,Public Utilities,Electric Utilities: Central,NYSE,65984
1379,ETRM,EnteroMedics Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ,1371217
1380,ETV,Eaton Vance Corporation,,,NYSE,1322436
1381,ETW,Eaton Vance Corporation,,,NYSE,1322435
1382,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,,,NYSE,1340736
1383,EV,Eaton Vance Corporation,Finance,Investment Managers,NYSE,350797
1384,EVBN,"Evans Bancorp, Inc.",Finance,Major Banks,AMEX,842518
1385,EVBS,"Eastern Virginia Bankshares, Inc.",Finance,Major Banks,NASDAQ,1047170
1386,EVC,Entravision Communications Corporation,Consumer Services,Broadcasting,NYSE,1109116
1387,EVEP,"EV Energy Partners, L.P.",Energy,Oil & Gas Production,NASDAQ,1361937
1388,EVER,EverBank Financial Corp.,Finance,Savings Institutions,NYSE,1502749
1389,EVF,Eaton Vance Senior Income Trust,,,NYSE,1070732
1390,EVG,Eaton Vance Short Diversified Income Fund,,,NYSE,1287498
1391,EVH,"Evolent Health, Inc",Consumer Services,Other Consumer Services,NYSE,1628908
1392,EVHC,Envision Healthcare Corporation,Health Care,Medical/Nursing Services,NYSE,1578318
1393,EVJ,Eaton Vance New Jersey Municipal Income Trust,,,AMEX,1074691
1394,EVM,Eaton Vance California Municipal Bond Fund,,,AMEX,1177161
1395,EVN,Eaton Vance Municipal Income Trust,,,NYSE,1074540
1396,EVO,Eaton Vance Ohio Municipal Income Trust,,,AMEX,1074686
1397,EVOK,"Evoke Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ,1403708
1398,EVOL,"Evolving Systems, Inc.",Technology,EDP Services,NASDAQ,1052054
1399,EVP,Eaton Vance Pennsylvania Municipal Income Trust,,,AMEX,1074687
1400,EVR,Evercore Partners Inc,Finance,Investment Managers,NYSE,1360901
1401,EVT,Eaton Vance Tax Advantaged Dividend Income Fund,,,NYSE,1253327
1402,EVTC,"Evertec, Inc.",Technology,EDP Services,NYSE,1559865
1403,EVV,Eaton Vance Limited Duration Income Fund,,,AMEX,1222922
1404,EVY,Eaton Vance New York Municipal Income Trust,,,AMEX,1074685
1405,EW,Edwards Lifesciences Corporation,Health Care,Industrial Specialties,NYSE,1099800
1406,EWBC,"East West Bancorp, Inc.",Finance,Major Banks,NASDAQ,1069157
1407,EXA,Exa Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ,890264
1408,EXAC,"Exactech, Inc.",Health Care,Industrial Specialties,NASDAQ,913165
1409,EXAR,Exar Corporation,Technology,Semiconductors,NYSE,753568
1410,EXAS,Exact Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ,1124140
1411,EXC,Exelon Corporation,Public Utilities,Power Generation,NYSE,1109357
1412,EXD,Eaton Vance Tax-Advantaged Bond,,,NYSE,1480999
1413,EXEL,"Exelixis, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ,939767
1414,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,,,NYSE,1379438
1415,EXLS,"ExlService Holdings, Inc.",Miscellaneous,Business Services,NASDAQ,1297989
1416,EXP,Eagle Materials Inc,Capital Goods,Building Materials,NYSE,918646
1417,EXPD,"Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing,NASDAQ,746515
1418,EXPE,"Expedia, Inc.",Consumer Services,Transportation Services,NASDAQ,1324424
1419,EXPO,"Exponent, Inc.",Consumer Services,Professional Services,NASDAQ,851520
1420,EXPR,"Express, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,1483510
1421,EXR,Extra Space Storage Inc,Consumer Services,Real Estate Investment Trusts,NYSE,1289490
1422,EXTN,Exterran Corporation,Technology,Diversified Commercial Services,NYSE,1635881
1423,EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment,NASDAQ,1078271
1424,EZPW,"EZCORP, Inc.",Consumer Services,Other Specialty Stores,NASDAQ,876523
1425,F,Ford Motor Company,Capital Goods,Auto Manufacturing,NYSE,37996
1426,FAB,First Trust Multi Cap Value AlphaDEX Fund,,,NASDAQ,1023640
1427,FAC,First Acceptance Corporation,Finance,Property-Casualty Insurers,NYSE,1521373
1428,FAF,First American Corporation (The),Finance,Specialty Insurers,NYSE,1472787
1429,FALC,"FalconStor Software, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ,922521
1430,FAM,First Trust/Aberdeen Global Opportunity Income Fund,,,NYSE,1302624
1431,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas Production,NASDAQ,1539838
1432,FARM,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods,NASDAQ,34563
1433,FARO,"FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ,917491
1434,FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials,NASDAQ,815556
1435,FATE,"Fate Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,1434316
1436,FAX,Aberdeen Asia-Pacific Income Fund Inc,,,AMEX,790500
1437,FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ,1326801
1438,FBC,"Flagstar Bancorp, Inc.",Finance,Savings Institutions,NYSE,1033012
1439,FBHS,"Fortune Brands Home & Security, Inc.",Basic Industries,Homebuilding,NYSE,1519751
1440,FBIZ,"First Business Financial Services, Inc.",Finance,Major Banks,NASDAQ,1521951
1441,FBMS,"The First Bancshares, Inc.",Finance,Major Banks,NASDAQ,947559
1442,FBNC,First Bancorp,Finance,Major Banks,NASDAQ,811589
1443,FBNK,"First Connecticut Bancorp, Inc.",Finance,Banks,NASDAQ,1511198
1444,FBP,First BanCorp.,Finance,Major Banks,NYSE,1057706
1445,FBR,Fibria Celulose S.A.,Basic Industries,Paper,NYSE,1209028
1446,FBRC,FBR & Co,Finance,Investment Bankers/Brokers/Service,NASDAQ,1371446
1447,FBSS,"Fauquier Bankshares, Inc.",Finance,Major Banks,NASDAQ,1083643
1448,FC,Franklin Covey Company,Consumer Services,Other Consumer Services,NYSE,886206
1449,FCAP,"First Capital, Inc.",Finance,Savings Institutions,NASDAQ,1070296
1450,FCB,"FCB Financial Holdings, Inc.",Finance,Major Banks,NYSE,1476651
1451,FCBC,"First Community Bancshares, Inc.",Finance,Major Banks,NASDAQ,859070
1452,FCCO,First Community Corporation,Finance,Major Banks,NASDAQ,932781
1453,FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,NASDAQ,1141807
1454,FCEL,"FuelCell Energy, Inc.",Miscellaneous,Industrial Machinery/Components,NASDAQ,886128
1455,FCF,First Commonwealth Financial Corporation,Finance,Major Banks,NYSE,712537
1456,FCFS,"First Cash, Inc.",Consumer Services,Other Specialty Stores,NASDAQ,840489
1457,FCH,FelCor Lodging Trust Incorporated,Consumer Services,Real Estate Investment Trusts,NYSE,923603
1458,FCN,"FTI Consulting, Inc.",Consumer Services,Professional Services,NYSE,887936
1459,FCNCA,"First Citizens BancShares, Inc.",Finance,Major Banks,NASDAQ,798941
1460,FCO,"Aberdeen Global Income Fund, Inc.",,,AMEX,876717
1461,FCPT,"Four Corners Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,NYSE,1650132
1462,FCSC,Fibrocell Science Inc,Health Care,Major Pharmaceuticals,NASDAQ,831246
1463,FCT,First Trust Senior Floating Rate Income Fund II,,,NYSE,1282850
1464,FCX,"Freeport-McMoran, Inc.",Basic Industries,Precious Metals,NYSE,831259
1465,FDC,First Data Corporation,Miscellaneous,Business Services,NYSE,883980
1466,FDEF,First Defiance Financial Corp.,Finance,Savings Institutions,NASDAQ,946647
1467,FDML,Federal-Mogul Holdings Corporation,Capital Goods,Auto Parts:O.E.M.,NASDAQ,1419581
1468,FDP,"Fresh Del Monte Produce, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NYSE,1047340
1469,FDS,FactSet Research Systems Inc.,Technology,"Computer Software: Programming, Data Processing",NYSE,1013237
1470,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,,,NASDAQ,842640
1471,FDUS,Fidus Investment Corporation,,,NASDAQ,1513363
1472,FDX,FedEx Corporation,Transportation,Air Freight/Delivery Services,NYSE,1048911
1473,FE,FirstEnergy Corporation,Public Utilities,Electric Utilities: Central,NYSE,1031296
1474,FEIM,"Frequency Electronics, Inc.",Capital Goods,Electrical Products,NASDAQ,39020
1475,FELE,"Franklin Electric Co., Inc.",Consumer Durables,Metal Fabrications,NASDAQ,38725
1476,FELP,Foresight Energy LP,Energy,Coal Mining,NYSE,1540729
1477,FEN,First Trust Energy Income and Growth Fund,,,AMEX,1284940
1478,FENG,Phoenix New Media Limited,Consumer Services,Broadcasting,NYSE,1509646
1479,FENX,"Fenix Parts, Inc.",Consumer Services,Motor Vehicles,NASDAQ,1615153
1480,FEO,First Trust/Aberdeen Emerging Opportunity Fund,,,NYSE,1363438
1481,FEP,First Trust Europe AlphaDEX Fund,,,NASDAQ,356841
1482,FET,"Forum Energy Technologies, Inc.",Energy,Metal Fabrications,NYSE,1401257
1483,FEYE,"FireEye, Inc.",Technology,Computer peripheral equipment,NASDAQ,1370880
1484,FF,FutureFuel Corp.,Basic Industries,Major Chemicals,NYSE,1337298
1485,FFA,First Trust,,,NYSE,1291334
1486,FFBC,First Financial Bancorp.,Finance,Major Banks,NASDAQ,708955
1487,FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc,,,NYSE,1174164
1488,FFG,"FBL Financial Group, Inc.",Finance,Life Insurance,NYSE,1012771
1489,FFHL,"Fuwei Films (Holdings) Co., Ltd.",Capital Goods,Specialty Chemicals,NASDAQ,1381074
1490,FFIC,Flushing Financial Corporation,Finance,Major Banks,NASDAQ,923139
1491,FFIN,"First Financial Bankshares, Inc.",Finance,Major Banks,NASDAQ,36029
1492,FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment,NASDAQ,1048695
1493,FFKT,Farmers Capital Bank Corporation,Finance,Major Banks,NASDAQ,713095
1494,FFNW,"First Financial Northwest, Inc.",Finance,Major Banks,NASDAQ,1401564
1495,FFWM,First Foundation Inc.,Finance,Major Banks,NASDAQ,1413837
1496,FGB,First Trust Specialty Finance and Financial Opportunities Fund,,,NYSE,1392994
1497,FGEN,"FibroGen, Inc",Health Care,Major Pharmaceuticals,NASDAQ,921299
1498,FGL,Fidelity and Guaranty Life,Finance,Life Insurance,NYSE,1585064
1499,FGP,"Ferrellgas Partners, L.P.",Consumer Services,Other Specialty Stores,NYSE,922358
1500,FHCO,Female Health Company (The),Basic Industries,Specialty Chemicals,NASDAQ,863894
1501,FHN,First Horizon National Corporation,Finance,Major Banks,NYSE,36966
1502,FHY,First Trust Strategic High Income Fund II,,,NYSE,1329388
1503,FI,Frank&#39;s International N.V.,Energy,Oilfield Services/Equipment,NYSE,1575828
