cik,ticker,title
320187,NKE,"NIKE, Inc."
1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1"
1163165,COP,CONOCOPHILLIPS
895421,MS,MORGAN STANLEY
811809,BHP,BHP Group Ltd
732712,VZ,VERIZON COMMUNICATIONS INC
18230,CAT,CATERPILLAR INC
753308,NEE,NEXTERA ENERGY INC
318154,AMGN,AMGEN INC
1393818,BX,Blackstone Inc.
1121404,SNY,Sanofi
1090727,UPS,UNITED PARCEL SERVICE INC
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
60667,LOW,LOWES COMPANIES INC
1737806,PDD,PDD Holdings Inc.
100885,UNP,UNION PACIFIC CORP
773840,HON,HONEYWELL INTERNATIONAL INC
217410,UL,UNILEVER PLC
804328,QCOM,QUALCOMM INC/DE
12927,BA,BOEING CO
1000275,RY,ROYAL BANK OF CANADA
14272,BMY,BRISTOL MYERS SQUIBB CO
64040,SPGI,S&P Global Inc.
40545,GE,GENERAL ELECTRIC CO
6951,AMAT,APPLIED MATERIALS INC /DE
887028,RTNTF,RIO TINTO LTD
1373715,NOW,"ServiceNow, Inc."
4962,AXP,AMERICAN EXPRESS CO
315189,DE,DEERE & CO
1378580,EADSY,Airbus SE/ADR
310764,SYK,STRYKER CORP
1045609,PLD,"Prologis, Inc."
1075531,BKNG,Booking Holdings Inc.
829224,SBUX,STARBUCKS CORP
1668717,BUD,Anheuser-Busch InBev SA/NV
947263,TD,TORONTO DOMINION BANK
101829,RTX,RTX Corp
886982,GS,GOLDMAN SACHS GROUP INC
313807,BP,BP PLC
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
1613103,MDT,Medtronic plc
316709,SCHW,SCHWAB CHARLES CORP
1035267,ISRG,INTUITIVE SURGICAL INC
109198,TJX,TJX COMPANIES INC /DE/
936468,LMT,LOCKHEED MARTIN CORP
313838,SONY,Sony Group Corp
1156039,ELV,"Elevance Health, Inc."
732717,T,AT&T INC.
1364742,BLK,BlackRock Inc.
863064,RIO,RIO TINTO PLC
8670,ADP,AUTOMATIC DATA PROCESSING INC
1543151,UBER,"Uber Technologies, Inc"
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
1103982,MDLZ,"Mondelez International, Inc."
882095,GILD,"GILEAD SCIENCES, INC."
1140625,EQNR,EQUINOR ASA
1559720,ABNB,"Airbnb, Inc."
1551182,ETN,Eaton Corp plc
64803,CVS,CVS HEALTH Corp
872589,REGN,"REGENERON PHARMACEUTICALS, INC."
875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
835403,DEO,DIAGEO PLC
6281,ADI,ANALOG DEVICES INC
707549,LRCX,LAM RESEARCH CORP
87347,SLB,SCHLUMBERGER LIMITED/NV
896159,CB,Chubb Ltd
1739940,CI,Cigna Group
1610520,UBS,UBS Group AG
1103838,IBN,ICICI BANK LTD
1555280,ZTS,Zoetis Inc.
1274152,CSLLY,CSL LTD
1594805,SHOP,SHOPIFY INC.
1053507,AMT,AMERICAN TOWER CORP /MA/
831001,C,CITIGROUP INC
80661,PGR,PROGRESSIVE CORP/OH/
764180,MO,"ALTRIA GROUP, INC."
885725,BSX,BOSTON SCIENTIFIC CORP
723125,MU,MICRON TECHNOLOGY INC
821189,EOG,EOG RESOURCES INC
10795,BDX,BECTON DICKINSON & CO
1067318,MBGYY,DAIMLER AG
92122,SO,SOUTHERN CO
1327567,PANW,Palo Alto Networks Inc
310732,BNPQY,BNP PARIBAS
1131399,GSK,GSK plc
1303523,BTI,British American Tobacco p.l.c.
1463157,PBCRY,PT Bank Central Asia Tbk / ADR
1067491,INFY,Infosys Ltd
1156375,CME,CME GROUP INC.
948401,CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI
798354,FI,FISERV INC
16868,CNI,CANADIAN NATIONAL RAILWAY CO
895728,ENB,ENBRIDGE INC
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN
718877,ATVI,"Activision Blizzard, Inc."
1326160,DUK,Duke Energy CORP
1101239,EQIX,EQUINIX INC
1124610,VMW,"VMWARE, INC."
1404912,KKR,KKR & Co. Inc.
49826,ITW,ILLINOIS TOOL WORKS INC
883241,SNPS,SYNOPSYS INC
860730,HCA,"HCA Healthcare, Inc."
1017413,CNQ,CANADIAN NATURAL RESOURCES LTD
1099590,MELI,MERCADOLIBRE INC
1633917,PYPL,"PayPal Holdings, Inc."
89800,SHW,SHERWIN WILLIAMS CO
315293,AON,Aon plc
1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
2969,APD,"Air Products & Chemicals, Inc."
1091587,ABBNY,ABB LTD
319201,KLAC,KLA CORP
1096200,ENLAY,ENEL SOCIETA PER AZIONI
1571949,ICE,"Intercontinental Exchange, Inc."
1524684,GLNCY,Glencore plc/ADR
1443276,TOELY,Tokyo Electron LTD
813672,CDNS,CADENCE DESIGN SYSTEMS INC
1091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
1110646,NTES,"NetEase, Inc."
823768,WM,WASTE MANAGEMENT INC
929869,RELX,RELX PLC
1327811,WDAY,"Workday, Inc."
1133421,NOC,NORTHROP GRUMMAN CORP /DE/
748954,ATLKY,ATLAS COPCO AB
1048911,FDX,FEDEX CORP
1442651,SHECY,"Shin-Etsu Chemical Co., Ltd."
1059556,MCO,MOODYS CORP /DE/
927971,BMO,BANK OF MONTREAL /CAN/
1510295,MPC,Marathon Petroleum Corp
277948,CSX,CSX CORP
1001838,SCCO,SOUTHERN COPPER CORP/
21665,CL,COLGATE PALMOLIVE CO
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
40533,GD,GENERAL DYNAMICS CORP
865752,MNST,Monster Beverage Corp
891478,SAN,"Banco Santander, S.A."
917851,VALE,Vale S.A.
49071,HUM,HUMANA INC
1605484,STLA,Stellantis N.V.
797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/
1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
1075124,TRI,THOMSON REUTERS CORP /CAN/
1596532,ANET,"Arista Networks, Inc."
1129137,AMX,AMERICA MOVIL SAB DE CV/
1001085,BN,BROOKFIELD Corp /ON/
9631,BNS,BANK OF NOVA SCOTIA
831259,FCX,FREEPORT-MCMORAN INC
1545460,OLCLY,"Oriental Land Co., Ltd./ADR"
927653,MCK,MCKESSON CORP
27419,TGT,TARGET CORP
715153,HMC,HONDA MOTOR CO LTD
66740,MMM,3M CO
898173,ORLY,O REILLY AUTOMOTIVE INC
32604,EMR,EMERSON ELECTRIC CO
1132597,ITUB,Itau Unibanco Holding S.A.
36104,USB,US BANCORP DE
1038357,PXD,PIONEER NATURAL RESOURCES CO
1534701,PSX,Phillips 66
1001250,EL,ESTEE LAUDER COMPANIES INC
1640147,SNOW,Snowflake Inc.
1648416,RACE,Ferrari N.V.
1650372,TEAM,Atlassian Corp
1002242,E,ENI SPA
882835,ROP,ROPER TECHNOLOGIES INC
1058090,CMG,CHIPOTLE MEXICAN GRILL INC
723254,CTAS,CINTAS CORP
1413447,NXPI,NXP Semiconductors N.V.
1858681,APO,"Apollo Global Management, Inc."
31462,ECL,ECOLAB INC.
820313,APH,AMPHENOL CORP /DE/
1571996,DELL,Dell Technologies Inc.
1035002,VLO,VALERO ENERGY CORP/TX
37996,F,FORD MOTOR CO
1549802,JD,"JD.com, Inc."
30554,CTA-PA,"EIDP, Inc."
76334,PH,PARKER HANNIFIN CORP
1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
1262039,FTNT,"Fortinet, Inc."
354190,AJG,Arthur J. Gallagher & Co.
1397187,LULU,lululemon athletica inc.
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
1947559,ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR
4447,HES,HESS CORP
1329099,BIDU,"Baidu, Inc."
1039765,ING,ING GROEP NV
1835632,MRVL,"Marvell Technology, Inc."
1393311,PSA,Public Storage
1099219,MET,METLIFE INC
1060391,RSG,"REPUBLIC SERVICES, INC."
16918,STZ,"CONSTELLATION BRANDS, INC."
1260221,TDG,TransDigm Group INC
1466258,TT,Trane Technologies plc
1004315,NGG,NATIONAL GRID PLC
899108,PRNDY,PERNOD RICARD S A /FI
68505,MSI,"Motorola Solutions, Inc."
1418135,KDP,Keurig Dr Pepper Inc.
866787,AZO,AUTOZONE INC
1467858,GM,General Motors Co
1222333,GLD,SPDR GOLD TRUST
878927,ODFL,"OLD DOMINION FREIGHT LINE, INC."
844551,WDS,WOODSIDE ENERGY GROUP LTD
1783180,CARR,CARRIER GLOBAL Corp
769397,ADSK,"Autodesk, Inc."
1335730,MFG,MIZUHO FINANCIAL GROUP INC
842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
1032208,SRE,SEMPRA
702165,NSC,NORFOLK SOUTHERN CORP
4977,AFL,AFLAC INC
311337,SU,SUNCOR ENERGY INC
1099800,EW,Edwards Lifesciences Corp
1565025,ABEV,AMBEV S.A.
75362,PCAR,PACCAR INC
723531,PAYX,PAYCHEX INC
1408198,MSCI,MSCI Inc.
827054,MCHP,MICROCHIP TECHNOLOGY INC
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC."
766704,WELL,WELLTOWER INC.
1063761,SPG,SIMON PROPERTY GROUP INC /DE/
47111,HSY,HERSHEY CO
900075,CPRT,COPART INC
7084,ADM,Archer-Daniels-Midland Co
1004980,PCG,PG&E Corp
1276187,ET,Energy Transfer LP
55785,KMB,KIMBERLY CLARK CORP
1051470,CCI,CROWN CASTLE INC.
1097864,ON,ON SEMICONDUCTOR CORP
1671933,TTD,"Trade Desk, Inc."
1944048,KVUE,Kenvue Inc.
107263,WMB,"WILLIAMS COMPANIES, INC."
1682852,MRNA,"Moderna, Inc."
1109357,EXC,EXELON CORP
1093557,DXCM,DEXCOM INC
4904,AEP,AMERICAN ELECTRIC POWER CO INC
1471055,BSBR,Banco Santander (Brasil) S.A.
1637459,KHC,Kraft Heinz Co
1791706,LI,Li Auto Inc.
1535527,CRWD,"CrowdStrike Holdings, Inc."
895564,BAESY,BAE SYSTEMS PLC /FI/
1585689,HLT,Hilton Worldwide Holdings Inc.
715957,D,"DOMINION ENERGY, INC"
1385157,TEL,TE Connectivity Ltd.
932787,STM,STMicroelectronics N.V.
73309,NUE,NUCOR CORP
1167379,ALC,ALCON INC
745732,ROST,"ROSS STORES, INC."
1478242,IQV,IQVIA HOLDINGS INC.
1297996,DLR,"DIGITAL REALTY TRUST, INC."
1913510,VFS,VinFast Auto Ltd.
849395,CRH,CRH PUBLIC LTD CO
726728,O,REALTY INCOME CORP
3570,LNG,"Cheniere Energy, Inc."
833444,JCI,Johnson Controls International plc
1060736,SGEN,Seagen Inc.
1475260,CVE,CENOVUS ENERGY INC.
882184,DHI,HORTON D R INC /DE/
1381197,IBKR,"Interactive Brokers Group, Inc."
1506307,KMI,"KINDER MORGAN, INC."
874716,IDXX,IDEXX LABORATORIES INC /DE
40704,GIS,GENERAL MILLS INC
927628,COF,CAPITAL ONE FINANCIAL CORP
92230,TFC,TRUIST FINANCIAL CORP
718940,BCE,BCE INC
45012,HAL,HALLIBURTON CO
1279967,CRARY,CREDIT AGRICOLE S A
1900304,HLN,Haleon plc
1300514,LVS,LAS VEGAS SANDS CORP
86312,TRV,"TRAVELERS COMPANIES, INC."
1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
1755672,CTVA,"Corteva, Inc."
1751788,DOW,DOW INC.
875045,BIIB,BIOGEN INC.
1071739,CNC,CENTENE CORP
1701605,BKR,Baker Hughes Co
948696,HCMLY,LafargeHolcim Ltd/ADR
1318220,WCN,"Waste Connections, Inc."
1232384,TRP,TC ENERGY CORP
1691493,NU,Nu Holdings Ltd.
1041061,YUM,YUM BRANDS INC
1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
1140859,COR,"Cencora, Inc."
1461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR
1442145,VRSK,"Verisk Analytics, Inc."
820027,AMP,AMERIPRISE FINANCIAL INC
1868275,CEG,Constellation Energy Corp
96021,SYY,SYSCO CORP
1390777,BK,Bank of New York Mellon Corp
1278680,IAU,ISHARES GOLD TRUST
1137774,PRU,PRUDENTIAL FINANCIAL INC
1552000,MPLX,MPLX LP
1037868,AME,AMETEK INC/
1393052,VEEV,VEEVA SYSTEMS INC
1086888,MFC,MANULIFE FINANCIAL CORP
277135,GWW,"W.W. GRAINGER, INC."
1666700,DD,"DuPont de Nemours, Inc."
49938,IMO,IMPERIAL OIL LTD
1834584,CPNG,"Coupang, Inc."
1160106,LYG,Lloyds Banking Group plc
1709048,GFS,GLOBALFOUNDRIES Inc.
1321655,PLTR,Palantir Technologies Inc.
1090872,A,"AGILENT TECHNOLOGIES, INC."
1781335,OTIS,Otis Worldwide Corp
1057352,CSGP,"COSTAR GROUP, INC."
712515,EA,ELECTRONIC ARTS INC.
1512673,SQ,"Block, Inc."
26172,CMI,CUMMINS INC
920760,LEN,LENNAR CORP /NEW/
1024478,ROK,"ROCKWELL AUTOMATION, INC"
1136893,FIS,"Fidelity National Information Services, Inc."
1123360,GPN,GLOBAL PAYMENTS INC
1090012,DVN,DEVON ENERGY CORP/DE
56873,KR,KROGER CO
1792789,DASH,"DoorDash, Inc."
1176948,ARES,Ares Management Corp
72903,XEL,XCEL ENERGY INC
1160330,BBD,BANK BRADESCO
202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
1489393,LYB,LyondellBasell Industries N.V.
1376891,EXPGY,Experian Group LTD
1561550,DDOG,"Datadog, Inc."
1832433,FERG,Ferguson plc
1705696,VICI,VICI PROPERTIES INC.
1047862,ED,CONSOLIDATED EDISON INC
1116578,PUK,PRUDENTIAL PLC
79879,PPG,PPG INDUSTRIES INC
815556,FAST,FASTENAL CO
1038143,ORAN,ORANGE
1164727,NEM,NEWMONT Corp /DE/
14693,BF-B,BROWN FORMAN CORP
1012037,CODYY,COMPAGNIE DE SAINT GOBAIN
1725964,NTR,Nutrien Ltd.
889132,PKX,POSCO HOLDINGS INC.
788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
1618756,QSR,Restaurant Brands International Inc.
1067701,URI,"UNITED RENTALS, INC."
1697862,ARGX,ARGENX SE
1639920,SPOT,Spotify Technology S.A.
312069,BCS,BARCLAYS PLC
1039684,OKE,ONEOK INC /NEW/
861967,WTKWY,WOLTERS KLUWER N V /FI
1932393,GEHC,GE HealthCare Technologies Inc.
947484,ACGL,ARCH CAPITAL GROUP LTD.
105770,WST,WEST PHARMACEUTICAL SERVICES INC
1050915,PWR,"QUANTA SERVICES, INC."
1021020,OEZVY,OSTERREICHISCHE ELEKTRIZITATSWIRTSCHAFTS /FI
1097362,SLF,SUN LIFE FINANCIAL INC
1910139,MBLY,Mobileye Global Inc.
1947542,TLGPY,Telstra Group Ltd
1650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc
1521332,APTV,Aptiv PLC
899051,ALL,ALLSTATE CORP
1132924,CHT,CHUNGHWA TELECOM CO LTD
1396009,VMC,Vulcan Materials CO
1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
756894,GOLD,BARRICK GOLD CORP
47217,HPQ,HP INC
1402057,CDW,CDW Corp
1776985,BNTX,BioNTech SE
1539838,FANG,"Diamondback Energy, Inc."
1437107,WBD,"Warner Bros. Discovery, Inc."
749251,IT,GARTNER INC
850918,GWLIF,GREAT-WEST LIFECO INC.
1123799,WIT,WIPRO LTD
1433913,BDORY,BANCO DO BRASIL S.A.
1289490,EXR,Extra Space Storage Inc.
827052,EIX,EDISON INTERNATIONAL
1410636,AWK,"American Water Works Company, Inc."
783325,WEC,"WEC ENERGY GROUP, INC."
1013462,ANSS,ANSYS INC
1456346,FNV,FRANCO NEVADA Corp
839923,VOD,VODAFONE GROUP PUBLIC LTD CO
1404655,HUBS,HUBSPOT INC
916076,MLM,MARTIN MARIETTA MATERIALS INC
24741,GLW,CORNING INC /NY
1441816,MDB,"MongoDB, Inc."
1659166,FTV,Fortive Corp
63271,PCRFY,PANASONIC Corp
1178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC."
1492426,HZNP,Horizon Therapeutics Public Ltd Co
1699150,IR,Ingersoll Rand Inc.
29534,DG,DOLLAR GENERAL CORP
1383650,CQP,"Cheniere Energy Partners, L.P."
844150,NWG,NatWest Group plc
1446596,FANUY,Fanuc Ltd
1334687,CJPRY,CENTRAL JAPAN RAILWAY CO
936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
915912,AVB,AVALONBAY COMMUNITIES INC
27904,DAL,"DELTA AIR LINES, INC."
1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
1120193,NDAQ,"NASDAQ, INC."
1444406,EC,ECOPETROL S.A.
884887,RCL,ROYAL CARIBBEAN CRUISES LTD
935703,DLTR,"DOLLAR TREE, INC."
1097149,ALGN,ALIGN TECHNOLOGY INC
1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC
1041792,ELP,ENERGY CO OF PARANA
868675,TU,TELUS CORP
1113169,TROW,PRICE T ROWE GROUP INC
1061574,GIB,CGI INC
1138118,CBRE,"CBRE GROUP, INC."
16988,CAJPY,CANON INC
33185,EFX,EQUIFAX INC
814052,TEF,TELEFONICA S A
1110803,ILMN,"ILLUMINA, INC."
1001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
1434265,GMAB,GENMAB A/S
1601046,KEYS,"Keysight Technologies, Inc."
906107,EQR,EQUITY RESIDENTIAL
1269238,TCOM,Trip.com Group Ltd
313927,CHD,CHURCH & DWIGHT CO INC /DE/
916365,TSCO,TRACTOR SUPPLY CO /DE/
2809,AEM,AGNICO EAGLE MINES LTD
106535,WY,WEYERHAEUSER CO
1065088,EBAY,EBAY INC
1713683,ZS,"Zscaler, Inc."
1034054,SBAC,SBA COMMUNICATIONS CORP
1524472,XYL,Xylem Inc.
1757898,STE,STERIS plc
1280452,MPWR,MONOLITHIC POWER SYSTEMS INC
93751,STT,STATE STREET CORP
1038683,RYAAY,RYANAIR HOLDINGS PLC
1070304,IX,ORIX CORP
1451279,SAUHY,Straumann Holding AG / ADR
814547,FICO,FAIR ISAAC CORP
924613,NOK,NOKIA CORP
1383312,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
1874178,RIVN,"Rivian Automotive, Inc. / DE"
72741,ES,EVERSOURCE ENERGY
1673358,YUMC,"Yum China Holdings, Inc."
720005,RJF,RAYMOND JAMES FINANCIAL INC
721371,CAH,CARDINAL HEALTH INC
1393612,DFS,Discover Financial Services
874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC."
1159508,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT
1703399,SE,Sea Ltd
936340,DTE,DTE ENERGY CO
886986,TECK,TECK RESOURCES LTD
1060955,ICLR,ICON PLC
943819,RMD,RESMED INC
915913,ALB,ALBEMARLE CORP
1477333,NET,"Cloudflare, Inc."
1645590,HPE,Hewlett Packard Enterprise Co
733099,RCI,ROGERS COMMUNICATIONS INC
63754,MKC,MCCORMICK & CO INC
1809587,BEKE,KE Holdings Inc.
858470,CTRA,Coterra Energy Inc.
1140536,WTW,WILLIS TOWERS WATSON PLC
1651308,BGNE,"BeiGene, Ltd."
1002910,AEE,AMEREN CORP
1243429,MT,ArcelorMittal
1687229,INVH,Invitation Homes Inc.
1585521,ZM,"Zoom Video Communications, Inc."
40987,GPC,GENUINE PARTS CO
1031296,FE,FIRSTENERGY CORP
36270,MTB,M&T BANK CORP
79282,BRO,"BROWN & BROWN, INC."
915191,FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN
1158838,ATEYY,ADVANTEST CORP
1353283,SPLK,SPLUNK INC
65984,ETR,ENTERGY CORP /DE/
1014473,VRSN,VERISIGN INC/CA
48465,HRL,HORMEL FOODS CORP /DE/
1403568,ULTA,"Ulta Beauty, Inc."
1121788,GRMN,GARMIN LTD
55067,K,KELLOGG CO
1175454,FLT,FLEETCOR TECHNOLOGIES INC
1446705,NTDTY,NTT Data Corp
906163,NVR,NVR INC
1096343,MKL,MARKEL GROUP INC.
46619,HEI,HEICO CORP
1758730,TW,Tradeweb Markets Inc.
1666175,FTS,Fortis Inc.
1677250,ZTO,ZTO Express (Cayman) Inc.
29905,DOV,DOVER Corp
313216,PHG,KONINKLIJKE PHILIPS NV
728535,JBHT,HUNT J B TRANSPORT SERVICES INC
10456,BAX,BAXTER INTERNATIONAL INC
815097,CCL,CARNIVAL CORP
4281,HWM,Howmet Aerospace Inc.
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/
1323404,WPM,Wheaton Precious Metals Corp.
1805284,RKT,"Rocket Companies, Inc."
1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
1671750,DSCSY,Disco Corporation/ADR
1179929,MOH,"MOLINA HEALTHCARE, INC."
1335258,LYV,"Live Nation Entertainment, Inc."
1094285,TDY,TELEDYNE TECHNOLOGIES INC
943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP
1190723,TS,TENARIS SA
1389170,TRGP,Targa Resources Corp.
1679788,COIN,"Coinbase Global, Inc."
1618921,WBA,"Walgreens Boots Alliance, Inc."
922224,PPL,PPL Corp
100493,TSN,"TYSON FOODS, INC."
1033767,UMC,UNITED MICROELECTRONICS CORP
1397911,LPLA,LPL Financial Holdings Inc.
930157,RTO,RENTOKIL INITIAL PLC /FI
35527,FITB,FIFTH THIRD BANCORP
1274494,FSLR,"FIRST SOLAR, INC."
1020569,IRM,IRON MOUNTAIN INC
21076,CLX,CLOROX CO /DE/
1126328,PFG,PRINCIPAL FINANCIAL GROUP INC
1130310,CNP,CENTERPOINT ENERGY INC
920148,LH,LABORATORY CORP OF AMERICA HOLDINGS
1736541,NIO,NIO Inc.
940944,DRI,DARDEN RESTAURANTS INC
1837240,SYM,Symbotic Inc.
1722380,AIU,Meta Data Ltd
1506293,PINS,"PINTEREST, INC."
33213,EQT,EQT Corp
859737,HOLX,HOLOGIC INC
84839,ROL,ROLLINS INC
1567094,CNHI,CNH Industrial N.V.
746515,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC
910631,KOF,COCA COLA FEMSA SAB DE CV
740260,VTR,"Ventas, Inc."
1048477,BMRN,BIOMARIN PHARMACEUTICAL INC
51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
731802,ATO,ATMOS ENERGY CORP
1439124,EBR,BRAZILIAN ELECTRIC POWER CO
1315098,RBLX,Roblox Corp
909037,SQM,CHEMICAL & MINING CO OF CHILE INC
711404,COO,"COOPER COMPANIES, INC."
822416,PHM,PULTEGROUP INC/MI/
1144519,BG,BUNGELTD
1823945,OWL,BLUE OWL CAPITAL INC.
92380,LUV,SOUTHWEST AIRLINES CO
1125259,CUK,CARNIVAL PLC
1546066,PBA,PEMBINA PIPELINE CORP
1009001,CCJ,CAMECO CORP
717826,ERIC,ERICSSON LM TELEPHONE CO
48898,HUBB,HUBBELL INC
1319161,WMG,Warner Music Group Corp.
1281761,RF,REGIONS FINANCIAL CORP
20286,CINF,CINCINNATI FINANCIAL CORP
1069347,SGSOY,SGS SOCIETE GENERALE DE SURVEILLANCE HOLDING SA /FI
811156,CMS,CMS ENERGY CORP
1122411,ASX,"ASE Technology Holding Co., Ltd."
1533232,BEP,Brookfield Renewable Partners L.P.
52988,J,JACOBS SOLUTIONS INC.
857005,PTC,PTC INC.
1316835,BLDR,"Builders FirstSource, Inc."
912595,MAA,MID AMERICA APARTMENT COMMUNITIES INC.
1013237,FDS,FACTSET RESEARCH SYSTEMS INC
1002047,NTAP,"NetApp, Inc."
11544,WRB,BERKLEY W R CORP
1463101,ENPH,"Enphase Energy, Inc."
1022671,STLD,STEEL DYNAMICS INC
832101,IEX,IDEX CORP /DE/
908937,SIRI,SIRIUS XM HOLDINGS INC.
1095073,EG,"EVEREST GROUP, LTD."
101778,MRO,MARATHON OIL CORP
1590955,PAYC,"Paycom Software, Inc."
1445930,KB,KB Financial Group Inc.
9389,BALL,BALL Corp
1374310,CBOE,"Cboe Global Markets, Inc."
749098,MGA,MAGNA INTERNATIONAL INC
860731,TYL,TYLER TECHNOLOGIES INC
1000697,WAT,WATERS CORP /DE/
912593,SUI,SUN COMMUNITIES INC
1086222,AKAM,AKAMAI TECHNOLOGIES INC
1783398,UWMC,UWM Holdings Corp
1810997,XPEV,XPENG INC.
1015922,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD
764478,BBY,BEST BUY CO INC
1642896,IOT,Samsara Inc.
1262823,WLK,WESTLAKE CORP
1324404,CF,"CF Industries Holdings, Inc."
1069183,AXON,"AXON ENTERPRISE, INC."
1552033,TRU,TransUnion
1341766,CELH,"Celsius Holdings, Inc."
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/
29989,OMC,OMNICOM GROUP INC.
4127,SWKS,"SKYWORKS SOLUTIONS, INC."
861884,RS,RELIANCE STEEL & ALUMINUM CO
